20000	0.0025096	0.0017786	0.002042	0.00177667
57500	0.00576307	0.00519227	0.00627387	0.00552653
95000	0.00942633	0.00893793	0.0104625	0.00966033
132500	0.0131791	0.0123411	0.01520	0.0135806
170000	0.0173298	0.0162187	0.019706	0.0178679
207500	0.0216701	0.0193439	0.0245244	0.0220659
245000	0.0258111	0.0240567	0.0294941	0.0266742
282500	0.0299367	0.0279946	0.0339822	0.0307427
320000	0.034001	0.0320465	0.0385838	0.0353873
357500	0.0385256	0.0360812	0.0435092	0.0401142
395000	0.0428881	0.0401525	0.0486824	0.0442753
432500	0.0469161	0.043763	0.0537028	0.049206
470000	0.0512508	0.047897	0.0596074	0.0533071
507500	0.0553668	0.0523335	0.0633293	0.0581102
545000	0.0604378	0.0567571	0.0687465	0.0632529
582500	0.0646449	0.0601965	0.0741323	0.0676179
620000	0.0688848	0.0624616	0.0794037	0.0716318
657500	0.0732006	0.0693719	0.0839329	0.077982
695000	0.0787838	0.0731093	0.0897564	0.0814543
732500	0.0832715	0.0766734	0.0939017	0.0863909
770000	0.0882021	0.0815045	0.0996819	0.0906719
807500	0.0926757	0.0850987	0.104273	0.0963509
845000	0.0975901	0.0890966	0.109765	0.0998927
882500	0.103136	0.0945858	0.115012	0.105933
920000	0.107145	0.0980822	0.119299	0.10998
957500	0.112381	0.102547	0.126046	0.115443
995000	0.116295	0.106273	0.130986	0.119146
